Geography Code,Geography Name,Sex,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E06000001,Hartlepool,Female,145,120,180,140,270,175,25,30,115,65,80,95,45285,15,80,10,555,130,135
E06000001,Hartlepool,Male,130,100,155,155,200,155,30,30,125,50,65,80,42480,20,90,,530,145,150
E06000002,Middlesbrough,Female,280,355,1095,4550,965,1470,75,140,525,330,275,310,59030,75,215,145,1695,660,855
E06000002,Middlesbrough,Male,315,320,1710,4440,1070,1870,90,170,585,320,295,360,55390,85,215,175,1520,790,1160
E06000003,Redcar and Cleveland,Female,85,115,90,140,210,90,25,10,235,110,135,110,67975,55,175,,640,145,100
E06000003,Redcar and Cleveland,Male,75,90,85,145,125,90,25,25,225,105,135,130,63810,35,175,,510,175,110
E06000004,Stockton-on-Tees,Female,110,380,930,2405,745,870,45,125,545,230,175,390,90655,80,250,50,1340,250,490
E06000004,Stockton-on-Tees,Male,125,305,880,2470,695,955,85,125,585,240,240,335,86875,65,280,90,1255,310,615
E06000005,Darlington,Female,380,165,520,90,340,225,45,45,270,95,185,185,49880,240,175,45,1825,140,275
E06000005,Darlington,Male,380,145,565,105,280,230,90,65,245,100,200,185,47440,195,165,60,1700,185,325
E06000006,Halton,Female,30,215,190,65,260,125,35,40,235,165,235,270,61555,55,360,20,1390,100,190
E06000006,Halton,Male,30,200,185,60,200,170,45,90,225,180,295,185,58745,35,325,45,1440,140,335
E06000007,Warrington,Female,85,690,1110,845,745,490,130,90,605,295,370,370,94285,50,705,50,4780,165,670
E06000007,Warrington,Male,110,635,1240,915,580,585,150,130,595,295,415,385,91655,65,660,115,4935,230,740
E06000008,Blackburn with Darwen,Female,680,210,12130,13935,720,510,75,100,670,105,190,340,44480,55,295,65,2415,420,640
E06000008,Blackburn with Darwen,Male,790,190,12255,13590,670,555,90,75,660,125,180,325,43520,45,295,75,2145,420,690
E06000009,Blackpool,Female,220,270,435,245,720,195,75,45,325,205,295,255,64610,125,425,105,2490,75,300
E06000009,Blackpool,Male,220,270,455,325,510,255,100,40,320,205,345,265,62835,110,385,100,2365,140,375
E06000010,Kingston upon Hull,Female,620,625,595,615,1220,2005,80,270,525,605,480,635,112605,220,225,135,10055,645,1615
E06000010,Kingston upon Hull,Male,655,610,665,680,1230,2285,150,270,645,540,470,615,111360,230,230,150,9780,800,1870
E06000011,East Riding of Yorkshire,Female,45,435,610,225,610,295,65,45,535,260,335,445,164930,140,580,55,4195,150,415
E06000011,East Riding of Yorkshire,Male,85,330,600,305,445,320,110,60,555,290,375,405,158910,185,480,65,3625,215,490
E06000012,North East Lincolnshire,Female,155,240,290,155,450,320,50,45,235,150,185,210,74335,30,160,60,2645,145,295
E06000012,North East Lincolnshire,Male,165,195,255,180,350,320,50,60,270,155,190,225,71025,40,160,65,2510,220,375
E06000013,North Lincolnshire,Female,900,225,510,500,590,335,30,25,350,140,175,220,76660,75,260,100,4260,105,505
E06000013,North Lincolnshire,Male,940,225,615,515,600,325,55,45,370,150,180,235,73895,90,295,125,4285,120,645
E06000014,York,Female,195,1745,925,280,1065,465,110,70,845,245,310,570,91390,200,715,95,5115,275,680
E06000014,York,Male,215,1140,930,265,870,510,95,70,735,250,325,465,85575,170,600,130,4180,345,655
E06000015,Derby,Female,370,705,6370,10540,2445,3040,1605,695,1200,380,2145,1025,87655,195,975,615,8335,480,3085
E06000015,Derby,Male,460,710,6260,10495,2550,3070,1450,625,1215,545,2035,1025,85420,215,1005,545,7905,555,3430
E06000016,Leicester,Female,3480,1250,63615,6385,5645,11155,2435,1365,1845,870,2630,1795,62090,235,925,380,13060,1635,5665
E06000016,Leicester,Male,3575,1230,62805,6285,5705,10380,2030,1395,1815,905,2395,1645,60305,225,865,455,12115,1765,6205
E06000017,Rutland,Female,,75,115,,80,90,50,25,115,30,90,80,18290,20,120,,675,,90
E06000017,Rutland,Male,15,70,120,50,85,165,160,60,135,65,150,85,19080,65,145,15,495,,105
E06000018,Nottingham,Female,1100,2330,5840,10860,4140,9795,5060,2000,1680,1070,5270,1725,93915,130,1140,540,12895,1765,3365
E06000018,Nottingham,Male,1120,1935,5675,10820,4390,8945,4275,2135,1685,1055,4860,1720,91665,140,1220,590,11195,1910,3670
E06000019,Herefordshire,Female,25,195,425,70,535,175,75,35,325,160,250,265,86500,210,390,60,5020,90,365
E06000019,Herefordshire,Male,30,145,420,70,305,165,75,40,360,120,220,275,83920,220,335,100,4490,135,430
E06000020,Telford and Wrekin,Female,100,440,2290,1695,615,1950,340,310,660,335,1035,405,78305,110,365,85,4385,110,675
E06000020,Telford and Wrekin,Male,110,380,2270,1670,500,2010,410,330,655,345,1045,365,75630,90,360,100,4205,135,725
E06000021,Stoke-on-Trent,Female,780,535,1305,7755,2220,2530,390,435,870,485,1000,505,102730,150,290,205,5705,280,1730
E06000021,Stoke-on-Trent,Male,800,540,1465,7825,2380,2520,530,485,910,535,1040,515,100175,145,285,225,5795,410,1910
E06000022,Bath and North East Somerset,Female,155,1150,870,115,1120,515,275,115,935,295,755,705,84230,40,740,95,6115,265,530
